"Country";"Data";"Device ID";"Sequence number";"Timestamp"
"";"972a0070011a1a1a1a6e0a0b";"00C6D881";"523";"2021-05-01 14:59:27"
"";"972a0070011a1a1a1a6e0b0a";"00C6D881";"522";"2021-05-01 12:59:25"
"";"972a0070011a1a1a1a6e0a09";"00C6D881";"521";"2021-05-01 10:59:23"
"";"972a0070011a1a1a1a6e0a08";"00C6D881";"520";"2021-05-01 08:59:21"
"";"972a0070011a1a1a1a6d0b07";"00C6D881";"519";"2021-05-01 06:59:20"
"";"972a0070011a1a1a1a6d0a06";"00C6D881";"518";"2021-05-01 04:59:19"
"";"972a0070011a1a1a1a6d0905";"00C6D881";"517";"2021-05-01 02:59:38"
"";"972a0070011a1a1a1a6d0904";"00C6D881";"516";"2021-05-01 00:59:37"
"";"972a0070011a1a1a1a6d0b03";"00C6D881";"515";"2021-04-30 22:59:35"
"";"972a0070011a1a1a1a6d0802";"00C6D881";"514";"2021-04-30 20:59:34"
"";"972a0070011a1a1a1a6d0701";"00C6D881";"513";"2021-04-30 18:59:33"
"";"972a0070011a1a1a1a6e0900";"00C6D881";"512";"2021-04-30 16:59:31"
"";"972a0070011a1a1a1a6e0bff";"00C6D881";"511";"2021-04-30 14:59:30"
"";"972a0070011b1b1b1b6f0ffe";"00C6D881";"510";"2021-04-30 12:59:28"
"";"972a007001212121216f11fd";"00C6D881";"509";"2021-04-30 10:59:26"
"";"972a0070011e1e1e1e6e0dfc";"00C6D881";"508";"2021-04-30 08:59:25"
"";"972a0070011b1b1b1b6e0dfb";"00C6D881";"507";"2021-04-30 06:59:23"
"";"972a0070011b1b1b1b6e0bfa";"00C6D881";"506";"2021-04-30 04:59:22"
"";"972a0070011b1b1b1b6e0bf9";"00C6D881";"505";"2021-04-30 02:59:42"
"";"972a0070011b1b1b1b6e0bf8";"00C6D881";"504";"2021-04-30 00:59:41"
"";"972a0070011b1b1b1b6e0bf7";"00C6D881";"503";"2021-04-29 22:59:39"
"";"972a0070011b1b1b1b6e0cf6";"00C6D881";"502";"2021-04-29 20:59:37"
"";"972a0070011b1b1b1b6f0af5";"00C6D881";"501";"2021-04-29 18:59:36"
"";"972a007001222222226f0df4";"00C6D881";"500";"2021-04-29 16:59:35"
"";"972a0070011f1f1f1f6f10f3";"00C6D881";"499";"2021-04-29 14:59:33"
"";"972a0070011e1e1e1e6f0df2";"00C6D881";"498";"2021-04-29 12:59:31"
"";"972a0070011e1e1e1e6e0df1";"00C6D881";"497";"2021-04-29 10:59:30"
"";"972a007001202020206e0bef";"00C6D881";"495";"2021-04-29 06:59:29"
"";"972a007001212121216e0bee";"00C6D881";"494";"2021-04-29 04:59:46"
"";"972a007001232323236e0aed";"00C6D881";"493";"2021-04-29 02:59:45"
"";"972a0070011e1e1e1e6e0dec";"00C6D881";"492";"2021-04-29 00:59:44"
"";"972a0070011e1e1e1e6f0deb";"00C6D881";"491";"2021-04-28 22:59:45"
"";"972a0070011f1f1f1f6f0dea";"00C6D881";"490";"2021-04-28 20:59:41"
"";"972a007001202020206f0fe9";"00C6D881";"489";"2021-04-28 18:59:39"
"";"972a007001202020207011e8";"00C6D881";"488";"2021-04-28 16:59:38"
"";"972a007001202020206d11e6";"00C6D881";"486";"2021-04-28 13:22:41"
"";"972a007004202020206e10e5";"00C6D881";"485";"2021-04-28 13:19:31"
"";"972a007001202020206f0ee4";"00C6D881";"484";"2021-04-28 12:59:38"
"";"972a007001202020206e0ee3";"00C6D881";"483";"2021-04-28 10:59:39"
