"Data";"Device ID";"Sequence number";"Timestamp"
"b92a007001151515156f0d6c";"0034EF62";"620";"2021-05-07 21:05:10"
"b92a007001141414146f0d6b";"0034EF62";"619";"2021-05-07 19:05:06"
"b92a007001111111116f0e6a";"0034EF62";"618";"2021-05-07 17:05:07"
"b92a007001131313136e0c69";"0034EF62";"617";"2021-05-07 15:05:03"
"b92a007001121212126e0c68";"0034EF62";"616";"2021-05-07 13:05:02"
"b92a007001141414146e0c67";"0034EF62";"615";"2021-05-07 11:05:21"
"b92a007001141414146e0c66";"0034EF62";"614";"2021-05-07 09:05:20"
"b92a007001131313136e0b65";"0034EF62";"613";"2021-05-07 07:05:18"
"b92a007001171717176e0c64";"0034EF62";"612";"2021-05-07 05:05:16"
"b92a007001383838386e0c63";"0034EF62";"611";"2021-05-07 03:05:16"
"b92a007001373737376e0c62";"0034EF62";"610";"2021-05-07 01:05:14"
"b92a007001373737376e0d61";"0034EF62";"609";"2021-05-06 23:05:13"
"b92a007001383838386f0c60";"0034EF62";"608";"2021-05-06 21:05:12"
"b92a007001373737376f0c5f";"0034EF62";"607";"2021-05-06 19:05:11"
"b92a007001383838386f0c5e";"0034EF62";"606";"2021-05-06 17:05:08"
"b92a0070011b1b1b1b6f0c5d";"0034EF62";"605";"2021-05-06 15:05:10"
"b92a007001111111116f0c5c";"0034EF62";"604";"2021-05-06 13:05:12"
"b92a007001191919196f0f5b";"0034EF62";"603";"2021-05-06 11:05:25"
"b92a0070013a3a3a3a6e0f5a";"0034EF62";"602";"2021-05-06 09:05:23"
"b92a0070013a3a3a3a6e0c59";"0034EF62";"601";"2021-05-06 07:05:22"
"b92a0070013c3c3c3c6e0b58";"0034EF62";"600";"2021-05-06 05:05:21"
"b92a0070013c3c3c3c6e0a57";"0034EF62";"599";"2021-05-06 03:05:19"
"b92a0070013c3c3c3c6e0a56";"0034EF62";"598";"2021-05-06 01:05:18"
"b92a0070013c3c3c3c6e0a55";"0034EF62";"597";"2021-05-05 23:05:17"
"b92a0070013a3a3a3a6f0d54";"0034EF62";"596";"2021-05-05 21:05:14"
"b92a0070013a3a3a3a6f0c53";"0034EF62";"595";"2021-05-05 19:05:13"
"b92a00700138383838701152";"0034EF62";"594";"2021-05-05 17:05:11"
"b92a0070013a3a3a3a6f1051";"0034EF62";"593";"2021-05-05 15:05:10"
"b92a0070013a3a3a3a6f0d50";"0034EF62";"592";"2021-05-05 13:05:30"
"b92a007001181818186e0e4f";"0034EF62";"591";"2021-05-05 11:05:29"
"b92a007001212121216e0c4e";"0034EF62";"590";"2021-05-05 09:05:27"
"b92a0070011e1e1e1e6e0d4d";"0034EF62";"589";"2021-05-05 07:05:25"
